Codigo;Valor
1100000;RÔNDONIA
1200000;ACRE
1300000;AMAZONAS
1400000;RORAIMA
1500000;PARÁ
1600000;AMAPÁ
1700000;TOCANTINS
2100000;MARANHÃO
2200000;PIAUÍ
2300000;CEARÁ
2400000;RIO GRANDE DO NORTE
2500000;PARAÍBA
2600000;PERNAMBUCO
2700000;ALAGOAS
2800000;SERGIPE
2900000;BAHIA
3100000;MINAS GERAIS
3200000;ESPÍRITO SANTO
3300000;RIO DE JANEIRO
3500000;SÃO PAULO
4100000;PARANÁ
4200000;SANTA CATARINA
4300000;RIO GRANDE DO SUL
5000000;MATO GROSSO DO SUL
5100000;MATO GROSSO
5200000;GOIÁS
5300000;DISTRITO FEDERAL
8888888;IGNORADO (APLICADO NA FASE DE CRÍTICA)
9899999;NÃO SABE UF NEM PAIS ESTRANGEIRO (exceto a variável 6222)
9900000;NÃO SABE UF
