Codigo;Valor
1;DIRETORES E GERENTES
11;DIRETORES EXECUTIVOS, DIRIGENTES DA ADMINISTRAÇÃO PÚBLICA E MEMBROS DO PODER EXECUTIVO E LEGISLATIVO
111;MEMBROS SUPERIORES DO PODER EXECUTIVO E LEGISLATIVO
1111;LEGISLADORES 
1112;DIRIGENTES SUPERIORES DA ADMINISTRAÇÃO PÚBLICA
1113;CHEFES DE PEQUENAS POPULAÇÕES
1114;DIRIGENTES DE ORGANIZAÇÕES QUE APRESENTAM UM INTERESSE ESPECIAL
112;DIRETORES GERAIS E GERENTES GERAIS
1120;DIRETORES GERAIS E GERENTES GERAIS
12;DIRIGENTES ADMINISTRATIVOS E COMERCIAIS
121;DIRIGENTES DE ADMINISTRAÇÃO E DE SERVIÇOS
1211;DIRIGENTES FINANCEIROS
1212;DIRIGENTES DE RECURSOS HUMANOS
1213;DIRIGENTES DE POLÍTICAS E PLANEJAMENTO
1219;DIRIGENTES DE ADMINISTRAÇÃO E DE SERVIÇOS NÃO CLASSIFICADOS ANTERIORMENTE
122;DIRIGENTES DE VENDAS, COMERCIALIZAÇÃO E DESENVOLVIMENTO
1221;DIRIGENTES DE VENDAS E  COMERCIALIZAÇÃO 
1222;DIRIGENTES DE PUBLICIDADE E RELAÇÕES PÚBLICAS
1223;DIRIGENTES DE PESQUISA E DESENVOLVIMENTO
13;DIRIGENTES E GERENTES DE PRODUÇÃO E OPERAÇÃO
131;DIRIGENTES DE PRODUÇÃO AGROPECUÁRIA, SILVICULTURA, AQUICULTURA E PESCA
1311;DIRIGENTES DE PRODUÇÃO AGROPECUÁRIA E SILVICULTURA
1312;DIRIGENTES DE PRODUÇÃO DA AQUICULTURA E PESCA
132;DIRIGENTES DE INDÚSTRIA DE TRANSFORMAÇÃO, MINERAÇÃO, CONSTRUÇÃO E DISTRIBUIÇÃO
1321;DIRIGENTES DE INDÚSTRIA DE TRANSFORMAÇÃO
1322;DIRIGENTES DE EXPLORAÇÕES DE MINERAÇÃO
1323;DIRIGENTES DE EMPRESAS DE CONSTRUÇÃO
1324;DIRIGENTES DE EMPRESAS DE ABASTECIMENTO, DISTRIBUIÇÃO E AFINS
133;DIRIGENTES DE SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÕES
1330;DIRIGENTES DE SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÕES
134;DIRIGENTES E GERENTES DE SERVIÇOS PROFISSIONAIS
1341;DIRIGENTES DE SERVIÇOS DE CUIDADOS INFANTIS
1342;DIRIGENTES DE SERVIÇOS DE SAÚDE
1343;DIRIGENTES DE SERVIÇOS DE CUIDADO A PESSOAS IDOSAS
1344;DIRIGENTES DE SERVIÇOS DE BEM-ESTAR SOCIAL
1345;DIRIGENTES DE SERVIÇOS DE EDUCAÇÃO
1346;GERENTES DE SUCURSAIS DE BANCOS, DE SERVIÇOS FINANCEIROS E DE SEGUROS
1349;DIRIGENTES E GERENTES DE SERVIÇOS PROFISSIONAIS NÃO CLASSIFICADOS ANTERIORMENTE
14;GERENTES DE HOTÉIS, RESTAURANTES, COMÉRCIOS E OUTROS SERVIÇOS
141;GERENTES DE HOTÉIS E RESTAURANTES
1411;GERENTES DE HOTÉIS
1412;GERENTES DE RESTAURANTES
142;GERENTES DE COMÉRCIOS ATACADISTAS E VAREJISTAS
1420;GERENTES DE COMÉRCIOS ATACADISTAS E VAREJISTAS
143;OUTROS GERENTES DE SERVIÇOS
1431;GERENTES DE CENTROS ESPORTIVOS,  DE DIVERSÃO E CULTURAIS
1439;GERENTES DE SERVIÇOS NÃO CLASSIFICADOS ANTERIORMENTE
2;PROFISSIONAIS DAS CIÊNCIAS E INTELECTUAIS
21;PROFISSIONAIS DAS CIÊNCIAS E DA ENGENHARIA
211;FÍSICOS, QUÍMICOS E AFINS
2111;FÍSICOS E ASTRÔNOMOS
2112;METEOROLOGISTAS
2113;QUÍMICOS
2114;GEÓLOGOS E GEOFÍSICOS
212;MATEMÁTICOS, ATUÁRIOS E ESTATÍSTICOS
2120;MATEMÁTICOS, ATUÁRIOS E ESTATÍSTICOS
213;PROFISSIONAIS EM CIÊNCIAS BIOLÓGICAS
2131;BIÓLOGOS, BOTÂNICOS, ZOÓLOGOS E AFINS
2132;AGRÔNOMOS E AFINS
2133;PROFISSIONAIS DA PROTEÇÃO DO MEIO AMBIENTE
214;ENGENHEIROS (EXCLUSIVE ELETROTECNÓLOGOS)
2141;ENGENHEIROS INDUSTRIAIS E DE PRODUÇÃO
2142;ENGENHEIROS CIVIS 
2143;ENGENHEIROS DE MEIO AMBIENTE
2144;ENGENHEIROS MECÂNICOS
2145;ENGENHEIROS QUÍMICOS
2146;ENGENHEIROS DE MINAS, METALÚRGICOS E AFINS
2149;ENGENHEIROS NÃO CLASSIFICADOS ANTERIORMENTE
215;ENGENHEIROS ELETROTÉCNICOS
2151;ENGENHEIROS ELETRICISTAS
2152;ENGENHEIROS ELETRÔNICOS
2153;ENGENHEIROS EM TELECOMUNICAÇÕES
216;ARQUITETOS, URBANISTAS, AGRIMENSORES E DESENHISTAS
2161;ARQUITETOS DE EDIFICAÇÕES
2162;ARQUITETOS PAISAGISTAS
2163;DESENHISTAS DE PRODUTOS E  VESTUÁRIO
2164;URBANISTAS E ENGENHEIROS DE TRÂNSITO
2165;CARTÓGRAFOS E AGRIMENSORES
2166;DESENHISTAS GRÁFICOS E DE MULTIMÍDIA
22;PROFISSIONAIS DA SAÚDE
221;MÉDICOS
2211;MÉDICOS GERAIS
2212;MÉDICOS ESPECIALISTAS
222;PROFISSIONAIS DE ENFERMAGEM E PARTOS
2221;PROFISSIONAIS DE ENFERMAGEM 
2222;PROFISSIONAIS DE PARTOS  
223;PROFISSIONAIS DA MEDICINA TRADICIONAL E ALTERNATIVA
2230;PROFISSIONAIS DA MEDICINA TRADICIONAL E ALTERNATIVA
224;PARAMÉDICOS
2240;PARAMÉDICOS
225;VETERINÁRIOS
2250;VETERINÁRIOS
226;OUTROS PROFISSIONAIS DA SAÚDE
2261;DENTISTAS
2262;FARMACÊUTICOS
2263;PROFISSIONAIS DA SAÚDE E DA HIGIENE LABORAL E AMBIENTAL
2264;FISIOTERAPEUTAS
2265;DIETISTAS E NUTRICIONISTAS
2266;FONOAUDIÓLOGOS
2267;OPTOMETRISTAS
2269;PROFISSIONAIS DA SAÚDE NÃO CLASSIFICADOS ANTERIORMENTE
23;PROFISSIONAIS DO ENSINO 
231;PROFESSORES DE UNIVERSIDADES E DO ENSINO SUPERIOR
2310;PROFESSORES DE UNIVERSIDADES E DO ENSINO SUPERIOR
232;PROFESSORES DE FORMAÇÃO PROFISSIONAL
2320;PROFESSORES DE FORMAÇÃO PROFISSIONAL
233;PROFESSORES DO ENSINO MÉDIO
2330;PROFESSORES DO ENSINO MÉDIO
234;PROFESSORES DO ENSINO FUNDAMENTAL E PRÉ-ESCOLAR
2341;PROFESSORES DO ENSINO FUNDAMENTAL
2342;PROFESSORES DO ENSINO PRÉ-ESCOLAR
235;OUTROS PROFISSIONAIS DO ENSINO 
2351;ESPECIALISTAS EM MÉTODOS PEDAGÓGICOS
2352;EDUCADORES PARA NECESSIDADES ESPECIAIS
2353;OUTROS PROFESSORES DE IDIOMAS
2354;OUTROS PROFESSORES DE MÚSICA
2355;OUTROS PROFESSORES DE ARTES
2356;INSTRUTORES EM TECNOLOGIAS DA INFORMAÇÃO
2359;PROFISSIONAIS DE ENSINO NÃO CLASSIFICADOS ANTERIORMENTE
24;ESPECIALISTAS EM ORGANIZAÇÃO DA ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS
241;ESPECIALISTAS EM FINANÇAS
2411;CONTADORES
2412;ASSESSORES FINANCEIROS E EM INVESTIMENTOS
2413;ANALISTAS FINANCEIROS
242;ESPECIALISTAS EM ORGANIZAÇÃO DE ADMINISTRAÇÃO
2421;ANALISTAS DE GESTÃO E ADMINISTRAÇÃO
2422;ESPECIALISTAS EM POLÍTICAS DE ADMINISTRAÇÃO
2423;ESPECIALISTAS EM POLÍTICAS E SERVIÇOS DE PESSOAL E AFINS
2424;ESPECIALISTAS EM FORMAÇÃO DE PESSOAL
243;PROFISSIONAIS DE VENDAS, COMERCIALIZAÇÃO E RELAÇÕES PÚBLICAS
2431;PROFISSIONAIS DA PUBLICIDADE E DA COMERCIALIZAÇÃO
2432;PROFISSIONAIS DE RELAÇÕES PÚBLICAS
2433;PROFISSIONAIS DE VENDAS TÉCNICAS E MÉDICAS (EXCLUSIVE DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÕES)
2434;PROFISSIONAIS DE VENDAS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÕES
25;PROFISSIONAIS DE TECNOLOGIAS DA INFORMAÇÃO E COMUNICAÇÕES 
251;DESENVOLVEDORES E ANALISTAS DE PROGRAMAS E APLICATIVOS (SOFTWARE) E MULTIMÍDIA
2511;ANALISTAS DE SISTEMAS
2512;DESENVOLVEDORES DE PROGRAMAS E APLICATIVOS (SOFTWARE) 
2513;DESENVOLVEDORES DE PÁGINAS DE INTERNET (WEB) E MULTIMÍDIA
2514;PROGRAMADORES DE APLICAÇÕES
2519;DESENVOLVEDORES E ANALISTAS DE PROGRAMAS E APLICATIVOS (SOFTWARE) E MULTIMÍDIA NÃO CLASSIFICADOS ANTERIORMENTE
252;ESPECIALISTAS EM BASE DE DADOS E EM REDES DE COMPUTADORES
2521;DESENHISTAS E ADMINISTRADORES DE BASES DE DADOS
2522;ADMINISTRADORES DE SISTEMAS
2523;PROFISSIONAIS EM REDE DE COMPUTADORES
2529;ESPECIALISTAS EM BASE DE DADOS E EM REDES DE COMPUTADORES NÃO CLASSIFICADOS ANTERIORMENTE
26;PROFISSIONAIS  EM DIREITO, EM CIÊNCIAS SOCIAIS E CULTURAIS
261;PROFISSIONAIS EM DIREITO
2611;ADVOGADOS E JURISTAS
2612;JUÍZES
2619;PROFISSIONAIS EM DIREITO NÃO CLASSIFICADOS ANTERIORMENTE
262;ARQUIVOLOGISTAS, CURADORES DE MUSEUS, BIBLIOTECÁRIOS E AFINS
2621;ARQUIVOLOGISTAS E CURADORES DE MUSEUS
2622;BIBLIOTECÁRIOS, DOCUMENTARISTAS E AFINS
263;ESPECIALISTAS EM CIÊNCIAS SOCIAIS E TEOLOGIA
2631;ECONOMISTAS
2632;SOCIÓLOGOS, ANTROPÓLOGOS E AFINS
2633;FILÓSOFOS, HISTORIADORES E ESPECIALISTAS EM CIÊNCIA POLÍTICA
2634;PSICÓLOGOS
2635;ASSISTENTES SOCIAIS
2636;MINISTROS DE CULTOS RELIGIOSOS, MISSIONÁRIOS E AFINS
264;ESCRITORES, JORNALISTAS E LINGUISTAS
2641;ESCRITORES
2642;JORNALISTAS
2643;TRADUTORES, INTÉRPRETES E LINGUISTAS
265;ARTISTAS CRIATIVOS E INTERPRETATIVOS
2651;ARTISTAS PLÁSTICOS
2652;MÚSICOS, CANTORES E COMPOSITORES
2653;BAILARINOS E COREÓGRAFOS
2654;DIRETORES DE CINEMA, DE TEATRO E AFINS
2655;ATORES
2656;LOCUTORES DE RÁDIO, TELEVISÃO E OUTROS MEIOS DE COMUNICAÇÃO
2659;ARTISTAS CRIATIVOS E INTERPRETATIVOS NÃO CLASSIFICADOS ANTERIORMENTE
3;TÉCNICOS E PROFISSIONAIS DE NÍVEL MÉDIO
31;PROFISSIONAIS DE NÍVEL MÉDIO DAS CIÊNCIAS E DA ENGENHARIA 
311;TÉCNICOS EM CIÊNCIAS FÍSICAS E DA ENGENHARIA
3111;TÉCNICOS EM CIÊNCIAS FÍSICAS E QUÍMICAS
3112;TÉCNICOS EM ENGENHARIA CIVIL
3113;ELETROTÉCNICOS
3114;TÉCNICOS EM ELETRÔNICA
3115;TÉCNICOS EM ENGENHARIA MECÂNICA
3116;TÉCNICOS EM QUÍMICA INDUSTRIAL
3117;TÉCNICOS EM ENGENHARIA DE MINAS E METALURGIA
3118;DESENHISTAS E PROJETISTAS TÉCNICOS
3119;TÉCNICOS EM CIÊNCIAS FÍSICAS E DA ENGENHARIA NÃO CLASSIFICADOS ANTERIORMENTE
312;SUPERVISORES EM ENGENHARIA DE MINAS, DE INDÚSTRIAS DE TRANSFORMAÇÃO E DA CONSTRUÇÃO
3121;SUPERVISORES DA MINERAÇÃO
3122;SUPERVISORES DE INDÚSTRIAS DE TRANSFORMAÇÃO
3123;SUPERVISORES DA CONSTRUÇÃO
313;TÉCNICOS EM CONTROLE DE PROCESSOS
3131;OPERADORES DE INSTALAÇÕES DE PRODUÇÃO DE ENERGIA
3132;OPERADORES DE INCINERADORES, INSTALAÇÕES DE TRATAMENTO DE ÁGUA E AFINS
3133;CONTROLADORES DE INSTALAÇÕES DE PROCESSAMENTO DE PRODUTOS QUÍMICOS
3134;OPERADORES DE INSTALAÇÕES DE REFINO DE PETRÓLEO E GÁS NATURAL
3135;CONTROLADORES DE PROCESSOS DE PRODUÇÃO DE METAIS
3139;TÉCNICOS EM CONTROLE DE PROCESSOS NÃO CLASSIFICADOS ANTERIORMENTE
314;TÉCNICOS E PROFISSIONAIS DE NÍVEL MÉDIO EM CIÊNCIAS BIOLÓGICAS E AFINS
3141;TÉCNICOS E PROFISSIONAIS DE NÍVEL MÉDIO EM CIÊNCIAS BIOLÓGICAS (EXCLUSIVE DA MEDICINA)
3142;TÉCNICOS AGROPECUÁRIOS
3143;TÉCNICOS FLORESTAIS
315;TÉCNICOS E CONTROLADORES DA NAVEGAÇÃO MARÍTIMA E AERONÁUTICA
3151;OFICIAIS MAQUINISTAS EM NAVEGAÇÃO
